,사업정보,,,,,,,,,,,,,,,,,예산현액,,,,,,,,,,,이월액상세,,,,선택차수편성액,재배정,예산배정,,자금배정,지출,,,,,,배정잔액(A-B),지출잔액(A-C),분야/부문,,보조금,,,,,,다음년도이월,,일상경비,,사업형태
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,원인행위액,,,지출액(C),,,,,,,,,,,,,,,,,
,회계연도,회계구분코드,회계구분,부서코드,부서명,정책사업코드,정책사업명,단위사업코드,단위사업명,세부사업코드,세부사업명,통계목,관리사업코드,관리사업명,재원구분코드,재원,사업구분,계,편성액,당초,추경,성립전,기금계획변경,간주예산,예산변경,관리사업변경,예비비,수입대체경비,이월액계,명시이월액,사고이월액,계속비이월액,,,배정액,유보액,자금배정,일반,예비비,계,일반,예비비,계,,,분야,부문,구분,법정여부,소관,국고사업명,확정내시액(국비),확정내시액(시도비),다음년도이월액,자금없는이월액,일상경비교부액,일상경비지출액,일상경비지출액
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000201930033,건강도시사업 추진,201-01 사무관리비,,,,,,"1,760,000","1,760,000","1,760,000",,,,,,,,,,,,,,,"1,760,000",,"200,000","200,000",,"200,000","200,000",,"200,000",,"1,560,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000201930033,건강도시사업 추진,201-02 공공운영비,,,,,,"2,700,000","2,700,000","2,700,000",,,,,,,,,,,,,,,"2,700,000",,,"2,000,000",,"2,000,000",,,,,"2,700,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000201930033,건강도시사업 추진,203-03 시책추진업무추진비,,,,,,"1,800,000","1,800,000","1,800,000",,,,,,,,,,,,,,,"1,800,000",,"1,800,000","1,800,000",,"1,800,000","1,800,000",,"1,800,000",,,보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200830179,지역사회건강조사 조사분석 위탁운영,,,,,,보조,"71,182,000","71,182,000","71,182,000",,,,,,,,,,,,,,,"71,182,000",,"43,280,000","43,280,000",,"43,280,000","43,280,000",,"43,280,000",,"27,902,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200830179,지역사회건강조사 조사분석 위탁운영,201-01 사무관리비,,,,,,"1,410,000","1,410,000","1,410,000",,,,,,,,,,,,,,,"1,410,000",,,,,,,,,,"1,410,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200830179,지역사회건강조사 조사분석 위탁운영,203-03 시책추진업무추진비,,,,,,"280,000","280,000","280,000",,,,,,,,,,,,,,,"280,000",,"280,000","280,000",,"280,000","280,000",,"280,000",,,보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000200830179,지역사회건강조사 조사분석 위탁운영,307-05 민간위탁금,,,,,,"69,492,000","69,492,000","69,492,000",,,,,,,,,,,,,,,"69,492,000",,"43,000,000","43,000,000",,"43,000,000","43,000,000",,"43,000,000",,"26,492,000",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000202230036,해로운 음주 감소 프로젝트,,,,,,자체,"42,320,000","42,320,000","42,320,000",,,,,,,,,,,,,,,"31,500,000",,"6,257,500","6,257,500",,"6,257,500","6,257,500",,"6,257,500","10,820,000","36,062,500",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000202230036,해로운 음주 감소 프로젝트,201-01 사무관리비,,,,,,"20,820,000","20,820,000","20,820,000",,,,,,,,,,,,,,,"10,000,000",,"6,107,500","6,107,500",,"6,107,500","6,107,500",,"6,107,500","10,820,000","14,712,500",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000202230036,해로운 음주 감소 프로젝트,201-03 행사운영비,,,,,,"13,400,000","13,400,000","13,400,000",,,,,,,,,,,,,,,"13,400,000",,"150,000","150,000",,"150,000","150,000",,"150,000",,"13,250,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000202230036,해로운 음주 감소 프로젝트,301-11 행사실비지원금,,,,,,"600,000","600,000","600,000",,,,,,,,,,,,,,,"600,000",,,,,,,,,,"600,000",보건,보건의료,,,,,,,,,,,
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000201120006,건강도시사업 활성화,3220000202230036,해로운 음주 감소 프로젝트,301-14 기타보상금,,,,,,"7,500,000","7,500,000","7,500,000",,,,,,,,,,,,,,,"7,500,000",,,,,,,,,,"7,500,000",보건,보건의료,,,,,,,,,,,
5,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,,,,,,,,,"1,220,992,000","1,220,992,000","1,047,992,000",,,,"173,000,000",,,,,,,,,"173,000,000",,"1,219,296,000",,"475,024,640","475,024,640",,"475,024,640","475,024,640",,"475,024,640","1,696,000","745,967,360",보건,보건의료,,,,,,,,,,,
6,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002019300C3,바른 식생활 관리 사업,,,,,,보조,"38,500,000","38,500,000","38,500,000",,,,,,,,,,,,,,,"38,500,000",,"6,000,000","6,000,000",,"6,000,000","6,000,000",,"6,000,000",,"32,500,000",보건,보건의료,,,,,,,,,,,계속
7,2026,100,일반회계,1105034,보건행정과,3220000200910031,건강도시 조성,3220000202020030,건강생활 실천사업,32200002019300C3,바른 식생활 관리 사업,201-01 사무관리비,,,,,,"16,500,000","16,500,000","16,500,000",,,,,,,,,,,,,,,"16,500,000",,"3,000,000","3,000,000",,"3,000,000","3,000,000",,"3,000,000",,"13,500,000",보건,보건의료,,,,,,,,,,,
